Time, Variation Distance, Total Energy, Number of Interactions, Plus Nodes, Minus Nodes, Energyexchanged, LifeTime
0, 1.0 , 1488.665 , 0.0, 0.0 , 0.0, 0.0, 2.659
200, 1.0 , 1488.665 , 0.0, 0.0 , 0.0, 0.0, 2.659
400, 1.0 , 1488.665 , 0.0, 0.0 , 0.0, 0.0, 2.659
600, 1.0 , 1488.665 , 0.0, 0.0 , 0.0, 0.0, 2.659
800, 1.0 , 1488.665 , 0.0, 0.0 , 0.0, 0.0, 2.659
1000, 1.0 , 1488.665 , 0.0, 0.0 , 0.0, 0.0, 2.659
1200, 1.0 , 1488.665 , 0.0, 0.0 , 0.0, 0.0, 2.659
1400, 1.0 , 1488.665 , 0.0, 0.0 , 0.0, 0.0, 2.659
1600, 1.0 , 1488.665 , 0.0, 0.0 , 0.0, 0.0, 2.659
1800, 1.0 , 1488.665 , 0.0, 0.0 , 0.0, 0.0, 2.659
2000, 1.0 , 1488.665 , 0.0, 0.0 , 0.0, 0.0, 2.659
2200, 1.0 , 1488.665 , 0.0, 0.0 , 0.0, 0.0, 2.659
2400, 1.0 , 1488.665 , 0.0, 0.0 , 0.0, 0.0, 2.659
2600, 1.0 , 1488.665 , 0.0, 0.0 , 0.0, 0.0, 2.659
2800, 1.0 , 1488.665 , 0.0, 0.0 , 0.0, 0.0, 2.659
3000, 1.0 , 1488.665 , 0.0, 0.0 , 0.0, 0.0, 2.659
3200, 1.0 , 1488.665 , 0.0, 0.0 , 0.0, 0.0, 2.659
3400, 1.0 , 1488.665 , 0.0, 0.0 , 0.0, 0.0, 2.659
3600, 1.0 , 1488.665 , 0.0, 0.0 , 0.0, 0.0, 2.659
3800, 1.0 , 1488.665 , 0.0, 0.0 , 0.0, 0.0, 2.659
4000, 1.0 , 1488.665 , 0.0, 0.0 , 0.0, 0.0, 2.659
