Time, Variation Distance, Total Energy, Number of Interactions, Plus Nodes, Minus Nodes, Energyexchanged, LifeTime
0, 0.4990422849720632 , 1488.665 , 0.0, 15.018 , 14.972, 0.0, 2.659
200, 0.08240835981168032 , 1055.4731088399888 , 74.376, 15.647 , 14.353, 0.0, 23.378348031044005
400, 0.047068926377610704 , 1019.089683719635 , 100.0, 15.839 , 14.161, 0.0, 27.29215745639801
600, 0.047068926377610704 , 1019.089683719635 , 100.0, 15.839 , 14.161, 0.0, 27.29215745639801
800, 0.047068926377610704 , 1019.089683719635 , 100.0, 15.839 , 14.161, 0.0, 27.29215745639801
1000, 0.047068926377610704 , 1019.089683719635 , 100.0, 15.839 , 14.161, 0.0, 27.29215745639801
1200, 0.047068926377610704 , 1019.089683719635 , 100.0, 15.839 , 14.161, 0.0, 27.29215745639801
1400, 0.047068926377610704 , 1019.089683719635 , 100.0, 15.839 , 14.161, 0.0, 27.29215745639801
1600, 0.047068926377610704 , 1019.089683719635 , 100.0, 15.839 , 14.161, 0.0, 27.29215745639801
1800, 0.047068926377610704 , 1019.089683719635 , 100.0, 15.839 , 14.161, 0.0, 27.29215745639801
2000, 0.047068926377610704 , 1019.089683719635 , 100.0, 15.839 , 14.161, 0.0, 27.29215745639801
2200, 0.047068926377610704 , 1019.089683719635 , 100.0, 15.839 , 14.161, 0.0, 27.29215745639801
2400, 0.047068926377610704 , 1019.089683719635 , 100.0, 15.839 , 14.161, 0.0, 27.29215745639801
2600, 0.047068926377610704 , 1019.089683719635 , 100.0, 15.839 , 14.161, 0.0, 27.29215745639801
2800, 0.047068926377610704 , 1019.089683719635 , 100.0, 15.839 , 14.161, 0.0, 27.29215745639801
3000, 0.047068926377610704 , 1019.089683719635 , 100.0, 15.839 , 14.161, 0.0, 27.29215745639801
3200, 0.047068926377610704 , 1019.089683719635 , 100.0, 15.839 , 14.161, 0.0, 27.29215745639801
3400, 0.047068926377610704 , 1019.089683719635 , 100.0, 15.839 , 14.161, 0.0, 27.29215745639801
3600, 0.047068926377610704 , 1019.089683719635 , 100.0, 15.839 , 14.161, 0.0, 27.29215745639801
3800, 0.047068926377610704 , 1019.089683719635 , 100.0, 15.839 , 14.161, 0.0, 27.29215745639801
4000, 0.047068926377610704 , 1019.089683719635 , 100.0, 15.839 , 14.161, 0.0, 27.29215745639801
